Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P24182	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	accC	49.27130273	I	Lipid transport and metabolism	METABOLISM
P0A953	3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1	fabB	42.56805338	IQ	Lipid transport and metabolism	METABOLISM
Q47146	Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	fadE	89.14978105	I	Lipid transport and metabolism	METABOLISM
P0C8J8	D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1	gatZ	47.06076941	G	Carbohydrate transport and metabolism	METABOLISM
P0A7D4	Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2	purA	47.29728625	F	Nucleotide transport and metabolism	METABOLISM
P0A7E5	CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2	pyrG	60.31805938	F	Nucleotide transport and metabolism	METABOLISM
P00895	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2	trpE	57.44009143	EH	Amino acid transport and metabolism	METABOLISM
P09832	Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3	gltD	51.96401557	ER	Amino acid transport and metabolism	METABOLISM
P08142	Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1	ilvB	60.38377314	EH	Amino acid transport and metabolism	METABOLISM
P26616	NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4	maeA	63.13924904	C	Energy production and conversion	METABOLISM
P07014	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1	sdhB	26.73423452	C	Energy production and conversion	METABOLISM
P37689	2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1	gpmI	56.14028406	-		
P38054	Cation efflux system protein CusA OS=Escherichia coli (strain K12) GN=cusA PE=1 SV=2	cusA	114.6160284	P	Inorganic ion transport and metabolism	METABOLISM
P0ABC7	Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1	hflK	45.49907951	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P02930	Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3	tolC	53.69018447	MU	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P62399	50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2	rplE	20.27069129	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	accA	35.20129042	I	Lipid transport and metabolism	METABOLISM
P0A7A7	Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2	plsB	91.30548655	I	Lipid transport and metabolism	METABOLISM
P05459	Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2	pdxB	41.32377299	HE	Coenzyme transport and metabolism	METABOLISM
P23721	Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4	serC	39.73997191	HE	Coenzyme transport and metabolism	METABOLISM
P0A867	Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1	talA	35.61846965	G	Carbohydrate transport and metabolism	METABOLISM
P00944	Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1	xylA	49.69250395	G	Carbohydrate transport and metabolism	METABOLISM
P0AC53	Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1	zwf	55.65132689	G	Carbohydrate transport and metabolism	METABOLISM
P08660	Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2	lysC	48.48343931	E	Amino acid transport and metabolism	METABOLISM
P07023	T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1	tyrA	41.9978894	E	Amino acid transport and metabolism	METABOLISM
P0AEM9	Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1	fliY	29.00320238	ET	Amino acid transport and metabolism	METABOLISM
P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2	sucB	43.9659951	C	Energy production and conversion	METABOLISM
P22259	Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2	pckA	59.58799575	-		
P0AFK0	Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1	pmbA	48.3213938	R	General function prediction only	POORLY CHARACTERIZED
P0ADE8	tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2	ygfZ	36.05336943	R	General function prediction only	POORLY CHARACTERIZED
P05825	Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2	fepA	82.03847549	P	Inorganic ion transport and metabolism	METABOLISM
P75780	Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1	fiu	81.89190875	P	Inorganic ion transport and metabolism	METABOLISM
P09169	Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1	ompT	35.52227435	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A698	UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1	uvrA	103.7845415	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A9P9	Gluconate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnO PE=3 SV=1	idnO	27.52723456	IQR	Lipid transport and metabolism	METABOLISM
P18843	NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2	nadE	30.59977658	H	Coenzyme transport and metabolism	METABOLISM
P0A6P9	Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2	eno	45.60841069	G	Carbohydrate transport and metabolism	METABOLISM
P27302	Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5	tktA	72.14791979	G	Carbohydrate transport and metabolism	METABOLISM
P0ABP8	Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2	deoD	25.91501852	F	Nucleotide transport and metabolism	METABOLISM
P24171	Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4	dcp	77.44895692	E	Amino acid transport and metabolism	METABOLISM
P37095	Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2	pepB	46.13326021	E	Amino acid transport and metabolism	METABOLISM
P09551	Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3	argT	27.95624088	ET	Amino acid transport and metabolism	METABOLISM
P31660	2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2	prpC	43.05702009	C	Energy production and conversion	METABOLISM
P27306	Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5	sthA	51.50977384	C	Energy production and conversion	METABOLISM
Q46856	Alcohol dehydrogenase YqhD OS=Escherichia coli (strain K12) GN=yqhD PE=1 SV=1	yqhD	42.05278947	C	Energy production and conversion	METABOLISM
P11454	Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3	entF	141.8835654	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0AE06	Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	acrA	42.15307723	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P02931	Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1	ompF	39.29106024	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A903	Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1	bamC	36.80160236	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P60906	Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2	hisS	46.98201028	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7L0	50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2	rplA	24.696286	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AEK4	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	fabI	27.82804478	I	Lipid transport and metabolism	METABOLISM
P02943	Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1	lamB	49.86258108	G	Carbohydrate transport and metabolism	METABOLISM
P00490	Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7	malP	90.44761358	G	Carbohydrate transport and metabolism	METABOLISM
P0A796	6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1	pfkA	34.80168622	G	Carbohydrate transport and metabolism	METABOLISM
P00550	PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1	mtlA	67.9106114	G	Carbohydrate transport and metabolism	METABOLISM
P02925	D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1	rbsB	30.91336533	G	Carbohydrate transport and metabolism	METABOLISM
P0AB89	Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1	purB	51.49259536	F	Nucleotide transport and metabolism	METABOLISM
P18335	Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4	argD	43.72110429	E	Amino acid transport and metabolism	METABOLISM
P0A6A6	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	leuC	49.83204222	E	Amino acid transport and metabolism	METABOLISM
P0A879	Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2	trpB	42.93758854	E	Amino acid transport and metabolism	METABOLISM
P33195	Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3	gcvP	104.2917423	E	Amino acid transport and metabolism	METABOLISM
P00562	Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3	metL	88.81463109	E	Amino acid transport and metabolism	METABOLISM
P37902	Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2	gltI	33.38116628	ET	Amino acid transport and metabolism	METABOLISM
P0A9X4	Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1	mreB	36.91103451	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P06715	Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1	gor	48.72363153	C	Energy production and conversion	METABOLISM
P31979	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	nuoF	49.24293959	C	Energy production and conversion	METABOLISM
P67910	ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1	hldD	34.85312923	-		
P0AGD7	Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1	ffh	49.73722258	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AG90	Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1	secD	66.57267588	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P76116	Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1	yncE	38.5714174	S	Function unknown	POORLY CHARACTERIZED
P16700	Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1	cysP	37.57327827	P	Inorganic ion transport and metabolism	METABOLISM
P60785	Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	lepA	66.51034926	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P06996	Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1	ompC	40.32536434	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A8J8	ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2	rhlB	47.07844805	LKJ	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P46837	Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3	yhgF	85.04893743	K	Transcription	INFORMATION STORAGE AND PROCESSING
P60240	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	109.6826916	KL	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7V3	30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2	rpsC	25.94915933	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AB77	2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1	kbl	43.07172819	H	Coenzyme transport and metabolism	METABOLISM
P0A6K6	Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1	deoB	44.323944	G	Carbohydrate transport and metabolism	METABOLISM
P21599	Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3	pykA	51.30666919	G	Carbohydrate transport and metabolism	METABOLISM
P0A858	Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1	tpiA	26.93680958	G	Carbohydrate transport and metabolism	METABOLISM
P31120	Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3	glmM	47.49553374	G	Carbohydrate transport and metabolism	METABOLISM
P69797	PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2	manX	35.00749034	G	Carbohydrate transport and metabolism	METABOLISM
P69441	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	adk	23.553271	F	Nucleotide transport and metabolism	METABOLISM
P0AB91	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1	aroG	37.96750301	E	Amino acid transport and metabolism	METABOLISM
P21170	Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2	speA	73.83342148	E	Amino acid transport and metabolism	METABOLISM
P0AEZ1	5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	metF	33.06377233	E	Amino acid transport and metabolism	METABOLISM
P39346	L-idonate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnD PE=1 SV=1	idnD	37.10431248	ER	Amino acid transport and metabolism	METABOLISM
P25526	Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1	gabD	51.66960686	C	Energy production and conversion	METABOLISM
P00393	NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2	ndh	47.31063259	C	Energy production and conversion	METABOLISM
P45464	Penicillin-binding protein activator LpoA OS=Escherichia coli (strain K12) GN=lpoA PE=1 SV=1	lpoA	72.76197123	-		
P77243	2-methylcitrate dehydratase OS=Escherichia coli (strain K12) GN=prpD PE=1 SV=3	prpD	53.89946277	R	General function prediction only	POORLY CHARACTERIZED
P76578	Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1	yfhM	181.4554179	R	General function prediction only	POORLY CHARACTERIZED
P0ABT2	DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2	dps	18.66572624	P	Inorganic ion transport and metabolism	METABOLISM
P0AB24	UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1	efeO	41.09401915	P	Inorganic ion transport and metabolism	METABOLISM
P08506	D-alanyl-D-alanine carboxypeptidase dacC OS=Escherichia coli (strain K12) GN=dacC PE=1 SV=2	dacC	43.56333921	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AEP3	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2	galU	32.90299162	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A715	2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1	kdsA	30.79490121	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A7I4	Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2	prfC	59.51830682	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7V8	30S ribosomal protein S4 OS=Escherichia coli (strain K12) GN=rpsD PE=1 SV=2	rpsD	23.43661845	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P02359	30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3	rpsG	19.98868708	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P23830	CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2	pssA	52.75076196	I	Lipid transport and metabolism	METABOLISM
P06129	Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2	btuB	68.34735227	H	Coenzyme transport and metabolism	METABOLISM
P0A9T0	D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) GN=serA PE=1 SV=2	serA	44.13004277	HE	Coenzyme transport and metabolism	METABOLISM
P0A991	Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2	fbaB	38.06715999	G	Carbohydrate transport and metabolism	METABOLISM
P52697	6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2	pgl	36.26685229	G	Carbohydrate transport and metabolism	METABOLISM
P33221	Phosphoribosylglycinamide formyltransferase 2 OS=Escherichia coli (strain K12) GN=purT PE=1 SV=3	purT	42.38900585	F	Nucleotide transport and metabolism	METABOLISM
P0A9Q9	Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1	asd	39.974477	E	Amino acid transport and metabolism	METABOLISM
P22256	4-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=gabT PE=1 SV=1	gabT	45.72749283	E	Amino acid transport and metabolism	METABOLISM
P18956	Gamma-glutamyltranspeptidase OS=Escherichia coli (strain K12) GN=ggt PE=1 SV=1	ggt	61.71122895	E	Amino acid transport and metabolism	METABOLISM
P21165	Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2	pepQ	50.12632646	E	Amino acid transport and metabolism	METABOLISM
P07004	Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2	proA	44.58418081	E	Amino acid transport and metabolism	METABOLISM
P0A7B5	Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1	proB	39.01445918	E	Amino acid transport and metabolism	METABOLISM
P0AEZ3	Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2	minD	29.57761181	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P77735	Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2	yajO	36.37951751	C	Energy production and conversion	METABOLISM
P0ABJ1	Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1	cyoA	34.8705555	C	Energy production and conversion	METABOLISM
P19926	Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1	agp	45.63585628	-		
P33136	Glucans biosynthesis protein G OS=Escherichia coli (strain K12) GN=mdoG PE=1 SV=1	mdoG	57.85811706	-		
